,date,open,volume_usdt,trade_count,volume_asset,asset_coin,base_coin,avg_trade_asset,avg_trade_usdt,delta_value,delta_range
4252,2020-01-22,8.937,39581907.067533,133253.0,4277149.34,ETC,USDT,32.097959070339876,297.04327157762305,0.04573122971914528,0.6153999999999993
4253,2020-01-21,8.624,35326652.836523,137461.0,3982256.64,ETC,USDT,28.970083441848963,256.9940043832287,0.036989795918367235,0.6468000000000007
4254,2020-01-20,8.5258,55962245.769213,191156.0,6508082.79,ETC,USDT,34.04592474209546,292.7569407667716,0.012772994909568628,1.0434
4255,2020-01-19,8.2991,102350677.693633,326466.0,11983020.23,ETC,USDT,36.70526250819381,313.5109864231896,0.027436710004699362,1.6900000000000013
4256,2020-01-18,9.4563,119496354.445261,363364.0,13254147.33,ETC,USDT,36.476225850662146,328.86129183205,-0.12287046730750938,1.6660000000000004
4257,2020-01-17,8.4029,207537856.696015,547557.0,20398865.04,ETC,USDT,37.25432245410067,379.02511829090855,0.12808673196158465,3.865
4258,2020-01-16,7.9864,68255466.868746,215550.0,8608940.54,ETC,USDT,39.93941331477615,316.657234371357,0.05354101973354703,1.3413000000000004
4259,2020-01-15,6.7834,78218480.95328,264958.0,10584307.67,ETC,USDT,39.947114901229625,295.2108672064252,0.17803756228440015,1.5055000000000005
4260,2020-01-14,5.4725,53084632.455828,178874.0,8355276.02,ETC,USDT,46.71039961089929,296.77109281297453,0.2406578346276839,1.5452000000000004
4261,2020-01-13,5.5802,6042163.756262,25993.0,1110546.67,ETC,USDT,42.72483630208133,232.45349733628282,-0.02016056772158701,0.2881
4262,2020-01-12,5.5685,11754089.376024,45610.0,2130708.1,ETC,USDT,46.7158101293576,257.70860285077833,0.0014366525994432982,0.2873000000000001
4263,2020-01-11,5.3608,28591483.547038,97275.0,5110726.49,ETC,USDT,52.53895132356721,293.9242718790851,0.03909864199373228,0.5122
4264,2020-01-10,5.1866,23213328.235499,85458.0,4501794.17,ETC,USDT,52.678440520489595,271.6343494523508,0.03343230632784483,0.4911000000000003
4265,2020-01-09,4.952,12131560.665859,44344.0,2404361.04,ETC,USDT,54.220662096337726,273.5784021707334,0.04701130856219712,0.3376000000000001
4266,2020-01-08,4.8352,11896433.286664,44279.0,2433430.68,ETC,USDT,54.95676686465368,268.66987255050924,0.02417686962276624,0.3651
4267,2020-01-07,5.0306,12563256.172932,48171.0,2580872.33,ETC,USDT,53.57730439476033,260.80538442075107,-0.03900131197073911,0.367
4268,2020-01-06,4.8783,12212393.238291,44650.0,2444397.79,ETC,USDT,54.74575117581187,273.5138463223068,0.03177336367177077,0.31479999999999997
4269,2020-01-05,4.7587,11936684.622543,43325.0,2448806.94,ETC,USDT,56.52179896133872,275.5149364695441,0.025153928593943706,0.2727000000000004
4270,2020-01-04,4.5769,7800905.877789,29548.0,1679464.53,ETC,USDT,56.83851800460268,264.00791518170433,0.039961546024601814,0.2635000000000005
4271,2020-01-03,4.2329,12019934.73327,43621.0,2720581.72,ETC,USDT,62.36862336947801,275.55385555741503,0.08124453684235407,0.4508000000000001
4272,2020-01-02,4.507,7997201.932199,32159.0,1838183.26,ETC,USDT,57.15921701545446,248.67694680179733,-0.06183714222320828,0.3442999999999996
4273,2020-01-01,4.4945,2385793.000196,8830.0,526602.35,ETC,USDT,59.63786523216308,270.1917327515289,0.0020024474357546894,0.10190000000000055
4274,2019-12-31,4.6246,11122226.355933,37407.0,2424343.65,ETC,USDT,64.80989253348304,297.3300814268185,-0.028132162781645906,0.34220000000000006
4275,2019-12-30,4.6436,10527535.264759,33352.0,2259306.03,ETC,USDT,67.74124580235068,315.6492943379408,-0.004156258075631044,0.3376000000000001
4276,2019-12-29,4.4136,9124725.291867,30313.0,1966063.87,ETC,USDT,64.85876917494144,301.01690007148744,0.05206634040239261,0.4698000000000002
4277,2019-12-28,4.5091,4502910.934426,13831.0,1008662.04,ETC,USDT,72.92762923866677,325.5665486534596,-0.021157215408839837,0.1863999999999999
4278,2019-12-27,4.4901,12186117.677016,37512.0,2703751.65,ETC,USDT,72.07697936660269,324.85918311516315,0.004810583283223154,0.33000000000000007
4279,2019-12-26,4.0403,14425087.802297,48832.0,3261996.01,ETC,USDT,66.80037700688072,295.402355060145,0.11130361606811374,0.6891999999999996
4280,2019-12-25,3.933,3623991.098134,12229.0,904092.02,ETC,USDT,73.93016763431189,296.34402634181043,0.02728197304856354,0.19599999999999973
